title,date,time,organizer,href
"sub0 reset","9 - 11 Nov","ALL DAY","webzero, @joinwebzero","https://cryptonomads.org/DevconSideEvents2024/sub0-reset"
"Decentralised Data Summit","10 Nov","ALL DAY","Codex.storage","https://cryptonomads.org/event/Decentralised-Data-Summit-2024"
"De.Fi World 2024","11 Nov","ALL DAY","De.FI (@DeFi on X)","https://cryptonomads.org/event/De.Fi-World-2024"
"Parallel Society Congress","11 Nov","ALL DAY","Logos","https://cryptonomads.org/event/Parallel-Society-Congress-2024"
"Sui Connect: Bangkok","12 Nov","5 PM - 8 PM","Sui","https://cryptonomads.org/DevconSideEvents2024/Sui-Connect-Bangkok"
"L2con","13 Nov","10 AM - 6 PM","Epic Web3","https://cryptonomads.org/DevconSideEvents2024/L2con"
"Capx Casa Bangkok","21 Oct - 5 Nov","ALL DAY","Capx AI , @0xCapx","https://cryptonomads.org/DevconSideEvents2024/Capx-Casa-Bangkok"
"Travelers Network","1 - 30 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Travelers-Network"
"Hacker Hotel","2 - 30 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Hacker-Hotel"
"ValuesDAO - meet top 3 value-aligned people","2 Nov","6 PM - 9 PM","ValuesDAO","https://cryptonomads.org/DevconSideEvents2024/ValuesDAO-meet-top-3-valuealigned-people"
"DeSci & ReFi Summit","3 Nov","2 PM - 6 PM","DeSci Thailand","https://cryptonomads.org/DevconSideEvents2024/DeSci-ReFi-Summit"
"Sui Bangkok Hacker House","4 - 18 Nov","9 AM - 10 AM","Sui","https://cryptonomads.org/DevconSideEvents2024/Sui-Bangkok-Hacker-House"
"Hall of Impact: DePIN & RWA","4 Nov","8:30 PM - 9:30 PM","QuillAudits","https://cryptonomads.org/DevconSideEvents2024/Hall-of-Impact-DePIN-RWA"
"Penguin Hacker House","5 - 17 Nov","ALL DAY","Penguin Crypto Club","https://cryptonomads.org/DevconSideEvents2024/Penguin-Hacker-House"
"Womxn Hack","5 Nov","9 AM - 6 PM","H.E.R DAO, The Phoenix Guild","https://cryptonomads.org/DevconSideEvents2024/Womxn-Hack"
"Babylon Hacker House","5 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"FIL Dev Summit 05","6 Nov","ALL DAY","FIL Oz, Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Dev-Summit-05"
"FIL Bangkok Co-Working Space","6 Nov","9 AM - 8 PM","Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Bangkok-CoWorking-Space"
"Design Jam","6 Nov","10:30 AM - 5 PM","Funding the Commons","https://cryptonomads.org/DevconSideEvents2024/Design-Jam"
"Funding the Commons & Earth Commons Hackathon","6 Nov","10:30 AM - 6:30 PM","Funding the Commons, Earth Commons","https://cryptonomads.org/DevconSideEvents2024/Funding-the-Commons-Earth-Commons-Hackathon"
"Babylon Hacker House","6 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"Starknet Hacker House","6 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House"
"QuillCon CXO Brunch","6 Nov","8:30 PM - 9:30 PM","QuillAudits","https://cryptonomads.org/DevconSideEvents2024/QuillCon-CXO-Brunch"
"FIL Dev Summit 05","7 Nov","ALL DAY","FIL Oz, Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Dev-Summit-05"
"DeFi Security Summit 2024","7 Nov","ALL DAY","No Organizer","https://cryptonomads.org/event/DeFi-Security-Summit-2024"
"FOMO LOUNGE","7 Nov","9 AM - 11:30 PM","ABC CONCLAVE","https://cryptonomads.org/DevconSideEvents2024/FOMO-LOUNGE"
"Funding the Commons & Earth Commons Hackathon","7 Nov","10:30 AM - 6:30 PM","Funding the Commons, Earth Commons","https://cryptonomads.org/DevconSideEvents2024/Funding-the-Commons-Earth-Commons-Hackathon"
